alias,code,emoji
"man_kneeling","\U0001f9ce\u200d\u2642\ufe0f","🧎‍♂️"
"person_running","\U0001f3c3","🏃"
"runner","\U0001f3c3","🏃"
"woman_running","\U0001f3c3\u200d\u2640\ufe0f","🏃‍♀️"
"man_running","\U0001f3c3\u200d\u2642\ufe0f","🏃‍♂️"
"person_standing","\U0001f9cd","🧍"
"woman_standing","\U0001f9cd\u200d\u2640\ufe0f","🧍‍♀️"
"man_standing","\U0001f9cd\u200d\u2642\ufe0f","🧍‍♂️"
"people_holding_hands","\U0001f9d1\u200d\U0001f91d\u200d\U0001f9d1","🧑‍🤝‍🧑"
"couple","\U0001f46b","👫"
"two_women_holding_hands","\U0001f46d","👭"
"two_men_holding_hands","\U0001f46c","👬"
"couple_with_heart","\U0001f491","💑"
"couple_with_heart_woman_man","\U0001f469\u200d\u2764\ufe0f\u200d\U0001f468","👩‍❤️‍👨"
"couple_ww","\U0001f469\u200d\u2764\ufe0f\u200d\U0001f469","👩‍❤️‍👩"
"couple_with_heart_ww","\U0001f469\u200d\u2764\ufe0f\u200d\U0001f469","👩‍❤️‍👩"
"couple_mm","\U0001f468\u200d\u2764\ufe0f\u200d\U0001f468","👨‍❤️‍👨"
"couple_with_heart_mm","\U0001f468\u200d\u2764\ufe0f\u200d\U0001f468","👨‍❤️‍👨"
"couplekiss","\U0001f48f","💏"
"kiss_woman_man","\U0001f469\u200d\u2764\ufe0f\u200d\U0001f48b\u200d\U0001f468","👩‍❤️‍💋‍👨"
"kiss_ww","\U0001f469\u200d\u2764\ufe0f\u200d\U0001f48b\u200d\U0001f469","👩‍❤️‍💋‍👩"
"couplekiss_ww","\U0001f469\u200d\u2764\ufe0f\u200d\U0001f48b\u200d\U0001f469","👩‍❤️‍💋‍👩"
"kiss_mm","\U0001f468\u200d\u2764\ufe0f\u200d\U0001f48b\u200d\U0001f468","👨‍❤️‍💋‍👨"
"couplekiss_mm","\U0001f468\u200d\u2764\ufe0f\u200d\U0001f48b\u200d\U0001f468","👨‍❤️‍💋‍👨"
"family","\U0001f46a","👪"
"family_man_woman_boy","\U0001f468\u200d\U0001f469\u200d\U0001f466","👨‍👩‍👦"
"family_mwg","\U0001f468\u200d\U0001f469\u200d\U0001f467","👨‍👩‍👧"
"family_mwgb","\U0001f468\u200d\U0001f469\u200d\U0001f467\u200d\U0001f466","👨‍👩‍👧‍👦"
"family_mwbb","\U0001f468\u200d\U0001f469\u200d\U0001f466\u200d\U0001f466","👨‍👩‍👦‍👦"
"family_mwgg","\U0001f468\u200d\U0001f469\u200d\U0001f467\u200d\U0001f467","👨‍👩‍👧‍👧"
"family_wwb","\U0001f469\u200d\U0001f469\u200d\U0001f466","👩‍👩‍👦"
"family_wwg","\U0001f469\u200d\U0001f469\u200d\U0001f467","👩‍👩‍👧"
"family_wwgb","\U0001f469\u200d\U0001f469\u200d\U0001f467\u200d\U0001f466","👩‍👩‍👧‍👦"
"family_wwbb","\U0001f469\u200d\U0001f469\u200d\U0001f466\u200d\U0001f466","👩‍👩‍👦‍👦"
"family_wwgg","\U0001f469\u200d\U0001f469\u200d\U0001f467\u200d\U0001f467","👩‍👩‍👧‍👧"
"family_mmb","\U0001f468\u200d\U0001f468\u200d\U0001f466","👨‍👨‍👦"
"family_mmg","\U0001f468\u200d\U0001f468\u200d\U0001f467","👨‍👨‍👧"
"family_mmgb","\U0001f468\u200d\U0001f468\u200d\U0001f467\u200d\U0001f466","👨‍👨‍👧‍👦"
"family_mmbb","\U0001f468\u200d\U0001f468\u200d\U0001f466\u200d\U0001f466","👨‍👨‍👦‍👦"
"family_mmgg","\U0001f468\u200d\U0001f468\u200d\U0001f467\u200d\U0001f467","👨‍👨‍👧‍👧"
"family_woman_boy","\U0001f469\u200d\U0001f466","👩‍👦"
"family_woman_girl","\U0001f469\u200d\U0001f467","👩‍👧"
"family_woman_girl_boy","\U0001f469\u200d\U0001f467\u200d\U0001f466","👩‍👧‍👦"
"family_woman_boy_boy","\U0001f469\u200d\U0001f466\u200d\U0001f466","👩‍👦‍👦"
"family_woman_girl_girl","\U0001f469\u200d\U0001f467\u200d\U0001f467","👩‍👧‍👧"
"family_man_boy","\U0001f468\u200d\U0001f466","👨‍👦"
"family_man_girl","\U0001f468\u200d\U0001f467","👨‍👧"
"family_man_girl_boy","\U0001f468\u200d\U0001f467\u200d\U0001f466","👨‍👧‍👦"
"family_man_boy_boy","\U0001f468\u200d\U0001f466\u200d\U0001f466","👨‍👦‍👦"
"family_man_girl_girl","\U0001f468\u200d\U0001f467\u200d\U0001f467","👨‍👧‍👧"
"yarn","\U0001f9f6","🧶"
"thread","\U0001f9f5","🧵"
"coat","\U0001f9e5","🧥"
"lab_coat","\U0001f97c","🥼"
"safety_vest","\U0001f9ba","🦺"
"womans_clothes","\U0001f45a","👚"
"shirt","\U0001f455","👕"
"jeans","\U0001f456","👖"
"briefs","\U0001fa72","🩲"
"shorts","\U0001fa73","🩳"
"necktie","\U0001f454","👔"
"dress","\U0001f457","👗"
"bikini","\U0001f459","👙"
"one_piece_swimsuit","\U0001fa71","🩱"
"kimono","\U0001f458","👘"
"sari","\U0001f97b","🥻"
"womans_flat_shoe","\U0001f97f","🥿"
"high_heel","\U0001f460","👠"
"sandal","\U0001f461","👡"
"boot","\U0001f462","👢"
"mans_shoe","\U0001f45e","👞"
